id,title,company,location,category,url,source,job_type,priority,publication_date,salary,education,experience_level,is_mnc,placements,package
arbeitnow_grafikdesigner-in-vollzeit-hamburg-148296,Grafikdesigner/in – Vollzeit (m/w/d),Cordes Consulting GmbH,"Hamburg, Hamburg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/cordes-consulting-gmbh/grafikdesigner-in-vollzeit-hamburg-148296,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,45,7
arbeitnow_senior-projektmanager-vollzeit-hamburg-378259,Senior Projektmanager - Vollzeit (m/w/d),Cordes Consulting GmbH,"Hamburg, Hamburg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/cordes-consulting-gmbh/senior-projektmanager-vollzeit-hamburg-378259,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,19,6
arbeitnow_senior-key-account-manager-in-vollzeit-hamburg-179572,Senior Key-Account-Manager/in - Vollzeit (m/w/d),Cordes Consulting GmbH,"Hamburg, Hamburg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/cordes-consulting-gmbh/senior-key-account-manager-in-vollzeit-hamburg-179572,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,22,3
arbeitnow_senior-wirtschaftsinformatiker-in-vollzeit-hamburg-70625,Senior Wirtschaftsinformatiker/-in - Vollzeit (m/w/d),Cordes Consulting GmbH,"Hamburg, Hamburg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/cordes-consulting-gmbh/senior-wirtschaftsinformatiker-in-vollzeit-hamburg-70625,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,39,5
arbeitnow_senior-automatisierungs-und-integrationsspezialist-hamburg-367200,Senior Automatisierungs- und Integrationsspezialist (m/w/d),Cordes Consulting GmbH,"Hamburg, Hamburg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/cordes-consulting-gmbh/senior-automatisierungs-und-integrationsspezialist-hamburg-367200,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,17,3
arbeitnow_senior-no-code-low-code-automatisierungsexperte-vollzeit-zapier-makecom-n8n-airtable-etc-hamburg-37715,"Senior No-Code / Low-Code Automatisierungsexperte (m/w/d) – Vollzeit (Zapier, Make.com, n8n, AirTable etc.)",Cordes Consulting GmbH,"Hamburg, Hamburg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/cordes-consulting-gmbh/senior-no-code-low-code-automatisierungsexperte-vollzeit-zapier-makecom-n8n-airtable-etc-hamburg-37715,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,39,6
arbeitnow_senior-fachinformatiker-in-vollzeit-hamburg-484669,Senior Fachinformatiker/-in (m/w/d) – Vollzeit,Cordes Consulting GmbH,"Hamburg, Hamburg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/cordes-consulting-gmbh/senior-fachinformatiker-in-vollzeit-hamburg-484669,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,6,4
arbeitnow_senior-social-media-manager-in-hamburg-396026,Senior Social-Media-Manager/-in (m/w/d),Cordes Consulting GmbH,"Hamburg, Hamburg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/cordes-consulting-gmbh/senior-social-media-manager-in-hamburg-396026,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,38,6
arbeitnow_fachinformatiker-in-vollzeit-hamburg-66067,Fachinformatiker/-in (m/w/d) – Vollzeit,Cordes Consulting GmbH,"Hamburg, Hamburg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/cordes-consulting-gmbh/fachinformatiker-in-vollzeit-hamburg-66067,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,40,5
arbeitnow_wirtschaftsinformatiker-in-vollzeit-hamburg-16265,Wirtschaftsinformatiker/-in - Vollzeit (m/w/d),Cordes Consulting GmbH,"Hamburg, Hamburg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/cordes-consulting-gmbh/wirtschaftsinformatiker-in-vollzeit-hamburg-16265,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,14,5
arbeitnow_senior-fullstack-entwickler-hamburg-355748,Senior Fullstack Entwickler (m/w/d),Cordes Consulting GmbH,"Hamburg, Hamburg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/cordes-consulting-gmbh/senior-fullstack-entwickler-hamburg-355748,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,30,3
arbeitnow_fullstack-entwickler-hamburg-292261,Fullstack Entwickler (m/w/d),Cordes Consulting GmbH,"Hamburg, Hamburg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/cordes-consulting-gmbh/fullstack-entwickler-hamburg-292261,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Experienced,False,20,7
arbeitnow_junior-wirtschaftsinformatiker-in-vollzeit-hamburg-45188,Junior Wirtschaftsinformatiker/-in - Vollzeit (m/w/d),Cordes Consulting GmbH,"Hamburg, Hamburg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/cordes-consulting-gmbh/junior-wirtschaftsinformatiker-in-vollzeit-hamburg-45188,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Fresher,False,32,6
arbeitnow_junior-fachinformatiker-in-vollzeit-hamburg-211023,Junior Fachinformatiker/-in (m/w/d) – Vollzeit,Cordes Consulting GmbH,"Hamburg, Hamburg, Deutschland",Technology,https://www.arbeitnow.com/jobs/companies/cordes-consulting-gmbh/junior-fachinformatiker-in-vollzeit-hamburg-211023,Arbeitnow,On-site,,2026-05-08,Negotiable,General,Fresher,False,21,3
