id,title,company,location,category,url,source,job_type,priority,publication_date,salary,education,is_mnc,placements,package
mnc_14948214,Managing Delivery Architect - SDWAN Delivery Architect,Capgemini,India / Remote,Computer and IT,https://www.themuse.com/jobs/capgemini/managing-delivery-architect-sdwan-delivery-architect-9895f9,MNC Network,Full Time,1.0,,,General,True,144,17
mnc_21668713,Security Engineer with Public Trust,Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/security-engineer-with-public-trust,MNC Network,Full Time,1.0,,,"BCA, BTECH, MCA",True,112,19
mnc_21339866,Robotic Process Automation Developer,Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/robotic-process-automation-developer-7a828a,MNC Network,Full Time,1.0,,,"BCA, BTECH, MCA",True,135,14
mnc_21510926,"Tax Senior, Internal Tax Team - International Tax",Deloitte,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/deloitte/tax-senior-internal-tax-team-international-tax,MNC Network,Full Time,1.0,,,General,True,173,19
mnc_21565976,"Lead Forward Deployed Engineer, Frontier GenAI",Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/lead-forward-deployed-engineer-frontier-genai,MNC Network,Full Time,1.0,,,"BCA, BTECH, MCA",True,122,19
mnc_20524638,"Senior Consultant, National Federal Tax Services - Transaction & Integration Services (T&IS) - E300",Deloitte,India / Remote,Corporate,https://www.themuse.com/jobs/deloitte/senior-consultant-national-federal-tax-services-transaction-integration-services-tis-e300-a08cc5,MNC Network,Full Time,1.0,,,General,True,84,10
mnc_21585100,Guidewire ClaimCenter Developer,Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/guidewire-claimcenter-developer-fbfbb5,MNC Network,Full Time,1.0,,,"BCA, BTECH, MCA",True,77,23
mnc_21668727,Power and Utilities OT Operational Technology-Senior Consultant,Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/power-and-utilities-ot-operational-technologysenior-consultant,MNC Network,Full Time,1.0,,,General,True,118,13
mnc_21654987,Oracle Cloud Finance Manager,Deloitte,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/deloitte/oracle-cloud-finance-manager-fc8b4f,MNC Network,Full Time,1.0,,,General,True,117,11
mnc_17934196,"Consulting, Senior Consultant",Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/consulting-senior-consultant-d7b732,MNC Network,Full Time,1.0,,,General,True,56,15
mnc_20524644,"Senior Consultant, National Federal Tax Services, Strategic Tax Review",Deloitte,India / Remote,Corporate,https://www.themuse.com/jobs/deloitte/senior-consultant-national-federal-tax-services-strategic-tax-review-694137,MNC Network,Full Time,1.0,,,General,True,172,24
mnc_17952602,"Consulting, Specialist Master",Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/consulting-specialist-master-d583be,MNC Network,Full Time,1.0,,,General,True,66,9
