id,title,company,location,category,job_type,publication_date,salary,url,source
arbeitnow_hr-business-architect-successfactors-heidelberg-372777,HR Business Architect – SuccessFactors (m/w/d),cbs Corporate Business Solutions GmbH,Heidelberg,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/cbs-corporate-business-solutions-gmbh/hr-business-architect-successfactors-heidelberg-372777,Arbeitnow
arbeitnow_senior-sap-successfactors-consultant-employee-central-mit-schwerpunkt-integration-heidelberg-315647,(Senior) SAP SuccessFactors Consultant – Employee Central mit Schwerpunkt Integration (m/w/d),cbs Corporate Business Solutions GmbH,Heidelberg,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/cbs-corporate-business-solutions-gmbh/senior-sap-successfactors-consultant-employee-central-mit-schwerpunkt-integration-heidelberg-315647,Arbeitnow
arbeitnow_senior-consultant-sap-successfactors-employee-central-munchen-420823,(Senior) Consultant SAP SuccessFactors – Employee Central (m/w/d),cbs Corporate Business Solutions GmbH,München,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/cbs-corporate-business-solutions-gmbh/senior-consultant-sap-successfactors-employee-central-munchen-420823,Arbeitnow
arbeitnow_senior-sap-successfactors-consultant-all-genders-employee-central-ec-payroll-heidelberg-316751,(Senior) SAP SuccessFactors Consultant (all genders) - Employee Central (EC) Payroll (m/w/d),cbs Corporate Business Solutions GmbH,Heidelberg,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/cbs-corporate-business-solutions-gmbh/senior-sap-successfactors-consultant-all-genders-employee-central-ec-payroll-heidelberg-316751,Arbeitnow
arbeitnow_senior-sap-successfactors-consultant-learning-heidelberg-309700,(Senior) SAP SuccessFactors Consultant – Learning (m/w/d),cbs Corporate Business Solutions GmbH,Heidelberg,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/cbs-corporate-business-solutions-gmbh/senior-sap-successfactors-consultant-learning-heidelberg-309700,Arbeitnow
arbeitnow_solution-architect-sap-successfactors-heidelberg-98186,Solution Architect SAP SuccessFactors (m/w/d),cbs Corporate Business Solutions GmbH,Heidelberg,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/cbs-corporate-business-solutions-gmbh/solution-architect-sap-successfactors-heidelberg-98186,Arbeitnow
arbeitnow_head-of-marketing-growth-munster-170521,Head of Marketing & Growth (m/w/d),syte GmbH,Münster,Technology,Remote,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/syte-gmbh/head-of-marketing-growth-munster-170521,Arbeitnow
arbeitnow_it-support-engineer-munich-based-447760,IT Support Engineer - Munich Based,Bragi,Munich,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/bragi/it-support-engineer-munich-based-447760,Arbeitnow
arbeitnow_senior-cloud-solutions-architect-wiesbaden-244531,Senior Cloud Solutions Architect (m/w/d),AOE Solutions GmbH,Wiesbaden,Technology,Remote,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/aoe-solutions-gmbh/senior-cloud-solutions-architect-wiesbaden-244531,Arbeitnow
arbeitnow_servicenow-architect-1423-wiesbaden-263237,ServiceNow Architect (m/w/d) - 1423,ITconfig/all GmbH,Wiesbaden,Technology,Remote,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/itconfigall-gmbh/servicenow-architect-1423-wiesbaden-263237,Arbeitnow
