id,title,company,location,category,url,source,job_type,priority,publication_date,salary,education,is_mnc,placements,package
mnc_14948214,Managing Delivery Architect - SDWAN Delivery Architect,Capgemini,India / Remote,Computer and IT,https://www.themuse.com/jobs/capgemini/managing-delivery-architect-sdwan-delivery-architect-9895f9,MNC Network,Full Time,1.0,,,General,True,88,17
mnc_21668713,Security Engineer with Public Trust,Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/security-engineer-with-public-trust,MNC Network,Full Time,1.0,,,"MCA, BTECH, BCA",True,165,24
mnc_21339866,Robotic Process Automation Developer,Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/robotic-process-automation-developer-7a828a,MNC Network,Full Time,1.0,,,"MCA, BTECH, BCA",True,70,17
mnc_21510926,"Tax Senior, Internal Tax Team - International Tax",Deloitte,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/deloitte/tax-senior-internal-tax-team-international-tax,MNC Network,Full Time,1.0,,,General,True,118,14
mnc_21565976,"Lead Forward Deployed Engineer, Frontier GenAI",Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/lead-forward-deployed-engineer-frontier-genai,MNC Network,Full Time,1.0,,,"MCA, BTECH, BCA",True,105,15
mnc_20524638,"Senior Consultant, National Federal Tax Services - Transaction & Integration Services (T&IS) - E300",Deloitte,India / Remote,Corporate,https://www.themuse.com/jobs/deloitte/senior-consultant-national-federal-tax-services-transaction-integration-services-tis-e300-a08cc5,MNC Network,Full Time,1.0,,,General,True,75,15
mnc_21585100,Guidewire ClaimCenter Developer,Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/guidewire-claimcenter-developer-fbfbb5,MNC Network,Full Time,1.0,,,"MCA, BTECH, BCA",True,177,14
mnc_21668727,Power and Utilities OT Operational Technology-Senior Consultant,Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/power-and-utilities-ot-operational-technologysenior-consultant,MNC Network,Full Time,1.0,,,General,True,100,12
mnc_21654987,Oracle Cloud Finance Manager,Deloitte,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/deloitte/oracle-cloud-finance-manager-fc8b4f,MNC Network,Full Time,1.0,,,General,True,129,19
mnc_17934196,"Consulting, Senior Consultant",Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/consulting-senior-consultant-d7b732,MNC Network,Full Time,1.0,,,General,True,117,17
mnc_20524644,"Senior Consultant, National Federal Tax Services, Strategic Tax Review",Deloitte,India / Remote,Corporate,https://www.themuse.com/jobs/deloitte/senior-consultant-national-federal-tax-services-strategic-tax-review-694137,MNC Network,Full Time,1.0,,,General,True,87,7
mnc_17952602,"Consulting, Specialist Master",Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/consulting-specialist-master-d583be,MNC Network,Full Time,1.0,,,General,True,56,13
mnc_21645990,"Senior Consultant, Health Insurance - Risk Regulatory & Compliance",Deloitte,India / Remote,Education,https://www.themuse.com/jobs/deloitte/senior-consultant-health-insurance-risk-regulatory-compliance,MNC Network,Full Time,1.0,,,General,True,166,24
mnc_16674416,GPS Lead Security Specialist,Deloitte,India / Remote,Project Management,https://www.themuse.com/jobs/deloitte/gps-lead-security-specialist,MNC Network,Full Time,1.0,,,General,True,192,6
mnc_21654995,"Training Coordinator - TS/SCI w/ Poly - Chantilly, VA",Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/training-coordinator-tssci-w-poly-chantilly-va,MNC Network,Full Time,1.0,,,General,True,83,19
mnc_21227760,Business Intel Reports Developer (TS/SCI w/ Poly Required),Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/business-intel-reports-developer-tssci-w-poly-required,MNC Network,Full Time,1.0,,,"MCA, BTECH, BCA",True,70,22
mnc_16867245,Senior Network Access Engineer - DDI,Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/senior-network-access-engineer-ddi-759aac,MNC Network,Full Time,1.0,,,"MCA, BTECH, BCA",True,93,13
mnc_21641076,Washington National Tax - Credits & Incentives (C&I) - Manager,Deloitte,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/deloitte/washington-national-tax-credits-incentives-ci-manager,MNC Network,Full Time,1.0,,,General,True,104,7
mnc_21654999,API Developer with MuleSoft & Traceable,Deloitte,India / Remote,Business Operations,https://www.themuse.com/jobs/deloitte/api-developer-with-mulesoft-traceable,MNC Network,Full Time,1.0,,,"MCA, BTECH, BCA",True,88,12
mnc_18243573,Senior Functional Support - Federal Health,Deloitte,India / Remote,Corporate,https://www.themuse.com/jobs/deloitte/senior-functional-support-federal-health-500441,MNC Network,Full Time,1.0,,,General,True,172,18
mnc_17791015,"Consulting, Manager",Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/consulting-manager-9df0f1,MNC Network,Full Time,1.0,,,General,True,67,12
mnc_21178069,"Finance Transformation, Insurance Consulting - Manager",PwC,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/pwc/finance-transformation-insurance-consulting-manager,MNC Network,Full Time,1.0,,,General,True,116,14
mnc_21647895,Managed Services - Network Field Services Specialist,PwC,India / Remote,Software Engineering,https://www.themuse.com/jobs/pwc/managed-services-network-field-services-specialist,MNC Network,Full Time,1.0,,,General,True,106,8
mnc_21594140,Managed Services - Health PLS R&D - Director,PwC,India / Remote,Sales,https://www.themuse.com/jobs/pwc/managed-services-health-pls-rd-director-1b3d44,MNC Network,Full Time,1.0,,,General,True,113,9
mnc_21471067,Oracle CPQ - Senior Manager,PwC,India / Remote,Education,https://www.themuse.com/jobs/pwc/oracle-cpq-senior-manager-6fc1a1,MNC Network,Full Time,1.0,,,General,True,186,13
mnc_17842964,"Financial Risk & Reg - Tech & Analytics, Senior Manager",PwC,India / Remote,Corporate,https://www.themuse.com/jobs/pwc/financial-risk-reg-tech-analytics-senior-manager-4679c2,MNC Network,Full Time,1.0,,,General,True,66,14
mnc_21637912,Data Strategy-Manager,PwC,India / Remote,Data and Analytics,https://www.themuse.com/jobs/pwc/data-strategymanager,MNC Network,Full Time,1.0,,,"MSC, BSC, BTECH",True,194,15
mnc_21598995,Salesforce Director [Pharma & Life Science],PwC,India / Remote,Science and Engineering,https://www.themuse.com/jobs/pwc/salesforce-director-pharma-life-science-35d357,MNC Network,Full Time,1.0,,,"MSC, BSC, BTECH, NON-TECH",True,52,22
mnc_21374779,Digital Assurance & Transparency - IT Audit Manager,PwC,India / Remote,Computer and IT,https://www.themuse.com/jobs/pwc/digital-assurance-transparency-it-audit-manager-94a7bd,MNC Network,Full Time,1.0,,,General,True,175,7
mnc_17346250,SAP TMO Manager,PwC,India / Remote,Corporate,https://www.themuse.com/jobs/pwc/sap-tmo-manager,MNC Network,Full Time,1.0,,,General,True,139,7
mnc_21284499,Tax Director - Global Information Reporting,PwC,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/pwc/tax-director-global-information-reporting-01064c,MNC Network,Full Time,1.0,,,General,True,125,13
mnc_17656836,Oracle Cloud Finance Consultant - Senior Manager,PwC,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/pwc/oracle-cloud-finance-consultant-senior-manager-4289f0,MNC Network,Full Time,1.0,,,General,True,68,17
mnc_21618440,"Finance Transformation - OneStream Consultant, Senior Associate",PwC,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/pwc/finance-transformation-onestream-consultant-senior-associate,MNC Network,Full Time,1.0,,,General,True,196,6
mnc_21581522,Firmware Engineer_Senior Associate,PwC,India / Remote,Software Engineering,https://www.themuse.com/jobs/pwc/firmware-engineersenior-associate,MNC Network,Full Time,1.0,,,"MCA, BTECH, BCA",True,107,9
mnc_18538748,"Properties, Facilities and Marketing Procurement Manager",PwC,India / Remote,Cleaning and Facilities,https://www.themuse.com/jobs/pwc/properties-facilities-and-marketing-procurement-manager,MNC Network,Full Time,1.0,,,NON-TECH,True,91,15
mnc_21532411,"BSCO - Managed Services, Epic Director",PwC,India / Remote,Business Operations,https://www.themuse.com/jobs/pwc/bsco-managed-services-epic-director,MNC Network,Full Time,1.0,,,BSC,True,194,10
mnc_18264674,MDM Senior Architect-Manager,PwC,India / Remote,Data and Analytics,https://www.themuse.com/jobs/pwc/mdm-senior-architectmanager-aea046,MNC Network,Full Time,1.0,,,General,True,87,13
mnc_21297418,Tax Innovation - Solution Architecture - Senior Manager,PwC,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/pwc/tax-innovation-solution-architecture-senior-manager,MNC Network,Full Time,1.0,,,General,True,187,16
mnc_21581521,Partner Tax Preparation Advisor Senior Manager,PwC,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/pwc/partner-tax-preparation-advisor-senior-manager-1ed44b,MNC Network,Full Time,1.0,,,General,True,118,24
mnc_17640414,FS Transformation Capital Markets Consultant - Senior Associate,PwC,India / Remote,Human Resources and Recruitment,https://www.themuse.com/jobs/pwc/fs-transformation-capital-markets-consultant-senior-associate-260e2a,MNC Network,Full Time,1.0,,,General,True,165,17
mnc_21637895,Tax Innovation - Product Management - Experienced Associate,PwC,India / Remote,Design and UX,https://www.themuse.com/jobs/pwc/tax-innovation-product-management-experienced-associate,MNC Network,Full Time,1.0,,,General,True,199,15
arbeitnow_risk-controller-regulatory-reporting-corep-crr-munich-419592,"Risk Controller Regulatory Reporting (COREP, CRR)",coni+partner AG,Munich,Technology,https://www.arbeitnow.com/jobs/companies/conipartner-ag/risk-controller-regulatory-reporting-corep-crr-munich-419592,Arbeitnow,Full-time,,2026-05-08,Negotiable,General,False,20,5
arbeitnow_operations-manager-marketplace-manager-e-commerce-30-stunden-schwarzach-am-main-hybrid-42204,Operations Manager / Marketplace Manager (m/w/d) E-Commerce | 30 Stunden | Schwarzach am Main / Hybrid,Powershop4U GmbH,Schwarzach am Main,Technology,https://www.arbeitnow.com/jobs/companies/powershop4u-gmbh/operations-manager-marketplace-manager-e-commerce-30-stunden-schwarzach-am-main-hybrid-42204,Arbeitnow,Full-time,,2026-05-08,Negotiable,General,False,27,6
arbeitnow_fachinformatiker-systemintegration-systemadministrator-wittlich-472287,Fachinformatiker Systemintegration / Systemadministrator (m/w/d),IT Fabrik Systemhaus GmbH u. Co.KG,Wittlich,Technology,https://www.arbeitnow.com/jobs/companies/it-fabrik-systemhaus-gmbh-u-cokg/fachinformatiker-systemintegration-systemadministrator-wittlich-472287,Arbeitnow,Full-time,,2026-05-08,Negotiable,General,False,29,6
arbeitnow_werkstudent-social-commerce-manager-tiktok-shop-berlin-125070,Werkstudent Social Commerce Manager - TikTok Shop ( m/w/d),Sportstech Brands Holding GmbH,Berlin,Technology,https://www.arbeitnow.com/jobs/companies/sportstech-brands-holding-gmbh/werkstudent-social-commerce-manager-tiktok-shop-berlin-125070,Arbeitnow,Full-time,,2026-05-08,Negotiable,General,False,12,6
arbeitnow_teamlead-it-service-innovation-dusseldorf-194916,Teamlead IT-Service & Innovation (m/w/d),Hochschul-IT-Services.nrw,Düsseldorf,Technology,https://www.arbeitnow.com/jobs/companies/hochschul-it-servicesnrw/teamlead-it-service-innovation-dusseldorf-194916,Arbeitnow,Full-time,,2026-05-08,Negotiable,General,False,40,7
arbeitnow_junior-business-automation-manager-schwerpunkt-ki-prozessoptimierung-berlin-440183,Junior Business Automation Manager (m/w/d) – Schwerpunkt KI & Prozessoptimierung,Sportstech Brands Holding GmbH,Berlin,Technology,https://www.arbeitnow.com/jobs/companies/sportstech-brands-holding-gmbh/junior-business-automation-manager-schwerpunkt-ki-prozessoptimierung-berlin-440183,Arbeitnow,Full-time,,2026-05-08,Negotiable,General,False,9,3
arbeitnow_account-manager-managed-services-kritis-leipzig-312884,Account Manager (m/w/d) Managed Services - KRITIS,EWERK GROUP,Leipzig,Technology,https://www.arbeitnow.com/jobs/companies/ewerk-group/account-manager-managed-services-kritis-leipzig-312884,Arbeitnow,Full-time,,2026-05-08,Negotiable,General,False,30,5
arbeitnow_ui-designer-munich-107390,UI Designer (m/w/d),COBE,Munich,Technology,https://www.arbeitnow.com/jobs/companies/cobe/ui-designer-munich-107390,Arbeitnow,Full-time,,2026-05-08,Negotiable,General,False,19,5
arbeitnow_mitarbeiter-fur-die-stammdatenpflege-bocholt-274000,Mitarbeiter für die Stammdatenpflege (m/w/d),reboVet Veterinär-Fachgroßhandel GmbH und Co. KG,Bocholt,Technology,https://www.arbeitnow.com/jobs/companies/rebovet-veterinar-fachgrosshandel-gmbh-und-co-kg/mitarbeiter-fur-die-stammdatenpflege-bocholt-274000,Arbeitnow,Full-time,,2026-05-08,Negotiable,General,False,15,7
arbeitnow_fachinformatiker-systemintegration-systemadministrator-trier-196882,Fachinformatiker Systemintegration / Systemadministrator (m/w/d),IT Fabrik Systemhaus GmbH u. Co.KG,Trier,Technology,https://www.arbeitnow.com/jobs/companies/it-fabrik-systemhaus-gmbh-u-cokg/fachinformatiker-systemintegration-systemadministrator-trier-196882,Arbeitnow,Full-time,,2026-05-08,Negotiable,General,False,40,4
arbeitnow_fachinformatiker-systemintegration-systemadministrator-bitburg-429622,Fachinformatiker Systemintegration / Systemadministrator (m/w/d),IT Fabrik Systemhaus GmbH u. Co.KG,Bitburg,Technology,https://www.arbeitnow.com/jobs/companies/it-fabrik-systemhaus-gmbh-u-cokg/fachinformatiker-systemintegration-systemadministrator-bitburg-429622,Arbeitnow,Full-time,,2026-05-08,Negotiable,General,False,28,7
arbeitnow_auszubildende-fachinformatiker-systemintegration-bitburg-244631,Auszubildende Fachinformatiker Systemintegration (m/w/d),IT Fabrik Systemhaus GmbH u. Co.KG,Bitburg,Technology,https://www.arbeitnow.com/jobs/companies/it-fabrik-systemhaus-gmbh-u-cokg/auszubildende-fachinformatiker-systemintegration-bitburg-244631,Arbeitnow,Full-time,,2026-05-08,Negotiable,General,False,30,4
arbeitnow_ki-entwickler-innovation-specialist-bitburg-120971,KI-Entwickler & Innovation Specialist (m/w/d),IT Fabrik Systemhaus GmbH u. Co.KG,Bitburg,Technology,https://www.arbeitnow.com/jobs/companies/it-fabrik-systemhaus-gmbh-u-cokg/ki-entwickler-innovation-specialist-bitburg-120971,Arbeitnow,Full-time,,2026-05-08,Negotiable,General,False,15,6
arbeitnow_cluster-revenue-manager-cologne-142834,Cluster Revenue Manager (m/w/d),Event Hotels,Cologne,Technology,https://www.arbeitnow.com/jobs/companies/event-hotels/cluster-revenue-manager-cologne-142834,Arbeitnow,Full-time,,2026-05-08,Negotiable,General,False,30,6
