id,title,company,location,category,url,source,job_type,priority,publication_date,salary,education,is_mnc,placements,package
mnc_14948214,Managing Delivery Architect - SDWAN Delivery Architect,Capgemini,India / Remote,Computer and IT,https://www.themuse.com/jobs/capgemini/managing-delivery-architect-sdwan-delivery-architect-9895f9,MNC Network,Full Time,1.0,,,General,True,138,11
mnc_21486375,"SailPoint Engineer, Secret Clearance",Deloitte,India / Remote,Science and Engineering,https://www.themuse.com/jobs/deloitte/sailpoint-engineer-secret-clearance-1ca0ce,MNC Network,Full Time,1.0,,,"BCA, MCA, BTECH",True,83,12
mnc_21668713,Security Engineer with Public Trust,Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/security-engineer-with-public-trust,MNC Network,Full Time,1.0,,,"BCA, MCA, BTECH",True,137,6
mnc_21339866,Robotic Process Automation Developer,Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/robotic-process-automation-developer-7a828a,MNC Network,Full Time,1.0,,,"BCA, MCA, BTECH",True,112,7
mnc_21510926,"Tax Senior, Internal Tax Team - International Tax",Deloitte,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/deloitte/tax-senior-internal-tax-team-international-tax,MNC Network,Full Time,1.0,,,General,True,88,9
mnc_21565976,"Lead Forward Deployed Engineer, Frontier GenAI",Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/lead-forward-deployed-engineer-frontier-genai,MNC Network,Full Time,1.0,,,"BCA, MCA, BTECH",True,103,12
mnc_20524638,"Senior Consultant, National Federal Tax Services - Transaction & Integration Services (T&IS) - E300",Deloitte,India / Remote,Corporate,https://www.themuse.com/jobs/deloitte/senior-consultant-national-federal-tax-services-transaction-integration-services-tis-e300-a08cc5,MNC Network,Full Time,1.0,,,General,True,175,11
mnc_21585100,Guidewire ClaimCenter Developer,Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/guidewire-claimcenter-developer-fbfbb5,MNC Network,Full Time,1.0,,,"BCA, MCA, BTECH",True,119,14
mnc_21668727,Power and Utilities OT Operational Technology-Senior Consultant,Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/power-and-utilities-ot-operational-technologysenior-consultant,MNC Network,Full Time,1.0,,,General,True,161,24
mnc_21654987,Oracle Cloud Finance Manager,Deloitte,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/deloitte/oracle-cloud-finance-manager-fc8b4f,MNC Network,Full Time,1.0,,,General,True,130,20
mnc_17934196,"Consulting, Senior Consultant",Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/consulting-senior-consultant-d7b732,MNC Network,Full Time,1.0,,,General,True,182,24
mnc_20524644,"Senior Consultant, National Federal Tax Services, Strategic Tax Review",Deloitte,India / Remote,Corporate,https://www.themuse.com/jobs/deloitte/senior-consultant-national-federal-tax-services-strategic-tax-review-694137,MNC Network,Full Time,1.0,,,General,True,91,10
mnc_17952602,"Consulting, Specialist Master",Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/consulting-specialist-master-d583be,MNC Network,Full Time,1.0,,,General,True,159,20
mnc_21645990,"Senior Consultant, Health Insurance - Risk Regulatory & Compliance",Deloitte,India / Remote,Education,https://www.themuse.com/jobs/deloitte/senior-consultant-health-insurance-risk-regulatory-compliance,MNC Network,Full Time,1.0,,,General,True,138,15
mnc_16674416,GPS Lead Security Specialist,Deloitte,India / Remote,Project Management,https://www.themuse.com/jobs/deloitte/gps-lead-security-specialist,MNC Network,Full Time,1.0,,,General,True,129,12
mnc_21654995,"Training Coordinator - TS/SCI w/ Poly - Chantilly, VA",Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/training-coordinator-tssci-w-poly-chantilly-va,MNC Network,Full Time,1.0,,,General,True,170,10
mnc_21227760,Business Intel Reports Developer (TS/SCI w/ Poly Required),Deloitte,India / Remote,Data and Analytics,https://www.themuse.com/jobs/deloitte/business-intel-reports-developer-tssci-w-poly-required,MNC Network,Full Time,1.0,,,"BCA, MCA, BTECH",True,178,15
mnc_16867245,Senior Network Access Engineer - DDI,Deloitte,India / Remote,Software Engineering,https://www.themuse.com/jobs/deloitte/senior-network-access-engineer-ddi-759aac,MNC Network,Full Time,1.0,,,"BCA, MCA, BTECH",True,115,19
mnc_21641076,Washington National Tax - Credits & Incentives (C&I) - Manager,Deloitte,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/deloitte/washington-national-tax-credits-incentives-ci-manager,MNC Network,Full Time,1.0,,,General,True,141,19
mnc_21654999,API Developer with MuleSoft & Traceable,Deloitte,India / Remote,Business Operations,https://www.themuse.com/jobs/deloitte/api-developer-with-mulesoft-traceable,MNC Network,Full Time,1.0,,,"BCA, MCA, BTECH",True,87,9
mnc_18243573,Senior Functional Support - Federal Health,Deloitte,India / Remote,Corporate,https://www.themuse.com/jobs/deloitte/senior-functional-support-federal-health-500441,MNC Network,Full Time,1.0,,,General,True,157,21
mnc_21178069,"Finance Transformation, Insurance Consulting - Manager",PwC,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/pwc/finance-transformation-insurance-consulting-manager,MNC Network,Full Time,1.0,,,General,True,124,17
mnc_21647895,Managed Services - Network Field Services Specialist,PwC,India / Remote,Software Engineering,https://www.themuse.com/jobs/pwc/managed-services-network-field-services-specialist,MNC Network,Full Time,1.0,,,General,True,151,16
mnc_21594140,Managed Services - Health PLS R&D - Director,PwC,India / Remote,Sales,https://www.themuse.com/jobs/pwc/managed-services-health-pls-rd-director-1b3d44,MNC Network,Full Time,1.0,,,General,True,198,15
mnc_21471067,Oracle CPQ - Senior Manager,PwC,India / Remote,Education,https://www.themuse.com/jobs/pwc/oracle-cpq-senior-manager-6fc1a1,MNC Network,Full Time,1.0,,,General,True,180,9
mnc_17842964,"Financial Risk & Reg - Tech & Analytics, Senior Manager",PwC,India / Remote,Corporate,https://www.themuse.com/jobs/pwc/financial-risk-reg-tech-analytics-senior-manager-4679c2,MNC Network,Full Time,1.0,,,General,True,91,14
mnc_21637912,Data Strategy-Manager,PwC,India / Remote,Data and Analytics,https://www.themuse.com/jobs/pwc/data-strategymanager,MNC Network,Full Time,1.0,,,"BSC, MSC, BTECH",True,147,13
mnc_21598995,Salesforce Director [Pharma & Life Science],PwC,India / Remote,Science and Engineering,https://www.themuse.com/jobs/pwc/salesforce-director-pharma-life-science-35d357,MNC Network,Full Time,1.0,,,"BSC, MSC, NON-TECH, BTECH",True,112,6
mnc_21374779,Digital Assurance & Transparency - IT Audit Manager,PwC,India / Remote,Computer and IT,https://www.themuse.com/jobs/pwc/digital-assurance-transparency-it-audit-manager-94a7bd,MNC Network,Full Time,1.0,,,General,True,188,7
mnc_17346250,SAP TMO Manager,PwC,India / Remote,Corporate,https://www.themuse.com/jobs/pwc/sap-tmo-manager,MNC Network,Full Time,1.0,,,General,True,160,12
mnc_21284499,Tax Director - Global Information Reporting,PwC,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/pwc/tax-director-global-information-reporting-01064c,MNC Network,Full Time,1.0,,,General,True,58,16
mnc_17656836,Oracle Cloud Finance Consultant - Senior Manager,PwC,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/pwc/oracle-cloud-finance-consultant-senior-manager-4289f0,MNC Network,Full Time,1.0,,,General,True,102,10
mnc_21618440,"Finance Transformation - OneStream Consultant, Senior Associate",PwC,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/pwc/finance-transformation-onestream-consultant-senior-associate,MNC Network,Full Time,1.0,,,General,True,176,9
mnc_21581522,Firmware Engineer_Senior Associate,PwC,India / Remote,Software Engineering,https://www.themuse.com/jobs/pwc/firmware-engineersenior-associate,MNC Network,Full Time,1.0,,,"BCA, MCA, BTECH",True,137,19
mnc_18538748,"Properties, Facilities and Marketing Procurement Manager",PwC,India / Remote,Cleaning and Facilities,https://www.themuse.com/jobs/pwc/properties-facilities-and-marketing-procurement-manager,MNC Network,Full Time,1.0,,,NON-TECH,True,157,17
mnc_21532411,"BSCO - Managed Services, Epic Director",PwC,India / Remote,Business Operations,https://www.themuse.com/jobs/pwc/bsco-managed-services-epic-director,MNC Network,Full Time,1.0,,,BSC,True,176,17
mnc_18264674,MDM Senior Architect-Manager,PwC,India / Remote,Data and Analytics,https://www.themuse.com/jobs/pwc/mdm-senior-architectmanager-aea046,MNC Network,Full Time,1.0,,,General,True,99,7
mnc_21297418,Tax Innovation - Solution Architecture - Senior Manager,PwC,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/pwc/tax-innovation-solution-architecture-senior-manager,MNC Network,Full Time,1.0,,,General,True,83,19
mnc_21581521,Partner Tax Preparation Advisor Senior Manager,PwC,India / Remote,Accounting and Finance,https://www.themuse.com/jobs/pwc/partner-tax-preparation-advisor-senior-manager-1ed44b,MNC Network,Full Time,1.0,,,General,True,126,11
mnc_17640414,FS Transformation Capital Markets Consultant - Senior Associate,PwC,India / Remote,Human Resources and Recruitment,https://www.themuse.com/jobs/pwc/fs-transformation-capital-markets-consultant-senior-associate-260e2a,MNC Network,Full Time,1.0,,,General,True,127,13
mnc_21637895,Tax Innovation - Product Management - Experienced Associate,PwC,India / Remote,Design and UX,https://www.themuse.com/jobs/pwc/tax-innovation-product-management-experienced-associate,MNC Network,Full Time,1.0,,,General,True,152,22
arbeitnow_senior-ux-ui-designer-berlin-470202,Senior UX/UI Designer (d/w/m),Rulemapping Group GmbH,Berlin,Technology,https://www.arbeitnow.com/jobs/companies/rulemapping-group-gmbh/senior-ux-ui-designer-berlin-470202,Arbeitnow,Full-time,,2026-05-08,Negotiable,General,False,23,3
arbeitnow_academy-manager-berlin-253787,Academy Manager (d/w/m),Rulemapping Group GmbH,Berlin,Technology,https://www.arbeitnow.com/jobs/companies/rulemapping-group-gmbh/academy-manager-berlin-253787,Arbeitnow,Full-time,,2026-05-08,Negotiable,General,False,20,3
arbeitnow_automation-engineer-all-levels-berlin-136643,Automation Engineer (all levels) (d/w/m),Rulemapping Group GmbH,Berlin,Technology,https://www.arbeitnow.com/jobs/companies/rulemapping-group-gmbh/automation-engineer-all-levels-berlin-136643,Arbeitnow,Full-time,,2026-05-08,Negotiable,"BCA, MCA, BTECH",False,10,7
